restaurant_id,name,address,city,phone,rating,cuisine,price_range,tags
R001,Quán Hoa 1,"389 Đường Nguyễn Huệ, P.8, Q.4",Hồ Chí Minh,0998847493,3.2,Ăn vặt,₫,"spicy, vegetarian, takeaway"
R002,Nhà hàng Vị 2,"121 Đường Trần Hưng Đạo, P.17, Q.10",Hà Nội,0975329037,3.4,Ăn vặt,₫₫,"romantic, seafood, cheap"
R003,Nhà hàng Ngon 3,"367 Đường Phan Đình Phùng, P.11, Q.5",Hồ Chí Minh,0928898923,4.9,Ấn Độ,₫,"delivery, vegetarian, spicy"
R004,Cafe Mỳ 4,"319 Đường Nguyễn Huệ, P.2, Q.12",Hải Phòng,0971971316,3.2,Địa Trung Hải,₫,"halal, cheap, fine-dining"
R005,House Vị 5,"33 Đường Trần Hưng Đạo, P.10, Q.2",Hồ Chí Minh,0913556182,3.8,Đồ nướng,₫₫₫,"fine-dining, family, spicy"
R006,Cafe Sườn 6,"353 Đường Nguyễn Huệ, P.3, Q.10",Hồ Chí Minh,0971691040,4.5,Hàn Quốc,₫₫,"vegetarian, cheap, romantic"
R007,Cafe Hoa 7,"127 Đường Lê Lợi, P.11, Q.7",Đà Nẵng,0908883684,3.4,Ấn Độ,₫,"seafood, vegetarian, spicy"
R008,Bếp Sashimi 8,"81 Đường Trần Hưng Đạo, P.18, Q.9",Đà Nẵng,0978461803,3.9,Địa Trung Hải,₫₫,"romantic, family, seafood"
R009,Quán Hoa 9,"450 Đường Lê Lợi, P.5, Q.11",Hồ Chí Minh,0991332642,3.8,Nhật Bản,₫₫,"vegetarian, seafood, cheap"
R010,Nhà hàng Vị 10,"359 Đường Hai Bà Trưng, P.9, Q.11",Đà Nẵng,0914972279,3.6,Hàn Quốc,₫₫,"takeaway, cheap, family"
R011,Quán Sashimi 11,"440 Đường Hai Bà Trưng, P.20, Q.4",Hồ Chí Minh,0950185867,4.5,Ăn vặt,₫₫₫,"takeaway, fine-dining, seafood"
R012,Nhà hàng Vị 12,"485 Đường Nguyễn Huệ, P.10, Q.4",Hà Nội,0932329237,4.8,Nhật Bản,₫,"seafood, delivery, family"
R013,Bếp Lửa 13,"494 Đường Hai Bà Trưng, P.6, Q.5",Cần Thơ,0981415657,3.8,Trung Hoa,₫₫₫,"romantic, cheap, vegetarian"
