restaurant_id,name,address,city,phone,rating,cuisine,price_range,tags
R001,Bánh Mì Huỳnh Hoa,"440 Đường Trần Hưng Đạo, P.17, Q.10",Phú Quốc,0944650898,3.5,Việt Nam,₫,"gourmet, private-rooms, vegetarian, late-night, bar, banh-mi"
R002,K-Town BBQ,"885 Đường Võ Văn Tần, P.3, Q.4",Cần Thơ,0914365313,4.9,Hàn Quốc,₫₫₫,"value-for-money, parking, brunch, buffet, catering, soju, fine-dining"
R003,Kyoto Garden,"770 Đường Nguyễn Huệ, P.2, Q.6",Hải Phòng,0993552787,3.5,Nhật Bản,₫₫,"quick-bite, minimalist, fine-dining, budget-friendly, sake"
R004,Kimchi House,"674 Đường Cách Mạng Tháng 8, P.13, Q.2",Vũng Tàu,0996921343,3.3,Hàn Quốc,₫₫,"family-gathering, catering, garden-view, hidden-gem, gourmet, soju, kimchi"
R005,Papaya Salad,"955 Đường Lê Lợi, P.13, Q.6",Đà Lạt,0910000746,4.7,Thái,₫₫,"fried, authentic, business-lunch, delivery, signature-dishes, mango-sticky-rice"
R006,Mì Quảng 1A,"903 Đường Lý Thường Kiệt, P.18, Q.5",Cần Thơ,0978723372,3.6,Việt Nam,₫,"local-favorite, traditional, gourmet, vegan, bun-cha, banh-mi, affordable"
R007,Thai Smile,"254 Đường Trần Hưng Đạo, P.10, Q.2",Đà Lạt,0926611918,4.5,Thái,₫₫₫,"celebration, must-try, fine-dining, tom-yum, curry"
R008,Bún Bò Huế An Nam,"842 Đường Lê Lợi, P.5, Q.10",Cần Thơ,0913049761,4.7,Việt Nam,₫,"date-night, award-winning, gourmet, bun-cha, affordable"
R009,Cơm Tấm Sài Gòn,"279 Đường Võ Văn Tần, P.11, Q.12",Hà Nội,0927302663,3.4,Việt Nam,₫,"value-for-money, bbq, live-music, cozy, hidden-gem, spring-rolls, cheap-eats"
R010,Cơm Tấm Sài Gòn 1,"317 Đường Lý Thường Kiệt, P.14, Q.2",Cần Thơ,0946199278,3.1,Việt Nam,₫,"hidden-gem, vegan, family-friendly, outdoor-seating, waterfront, spring-rolls"
R011,K-Town BBQ 49,"893 Đường Lê Lợi, P.3, Q.10",Vũng Tàu,0985640997,3.4,Hàn Quốc,₫₫₫,"street-food, vegetarian, rooftop, business-lunch, outdoor-seating, bibimbap, hotpot"
R012,Tandoori Palace,"141 Đường Nam Kỳ Khởi Nghĩa, P.1, Q.12",Hải Phòng,0968843673,4.8,Ấn Độ,₫,"buffet, bar, spicy, vintage, premium, tandoori, masala"
R013,The Burger Joint,"75 Đường Cách Mạng Tháng 8, P.16, Q.12",Cần Thơ,0994953138,3.8,Mỹ,₫₫₫,"value-for-money, halal, must-try, steaks, milkshakes, premium"
R014,Busan Grill,"848 Đường Nguyễn Huệ, P.8, Q.9",Hồ Chí Minh,0989568538,3.4,Hàn Quốc,₫,"business-lunch, rooftop, bbq, buffet, bibimbap, soju, affordable"
R015,Curry House,"181 Đường Võ Văn Tần, P.8, Q.2",Hà Nội,0913143206,4.1,Ấn Độ,₫,"brunch, kids-menu, catering, curry, cheap-eats"
R016,Edo Sushi Bar,"294 Đường Lý Thường Kiệt, P.4, Q.5",Hải Phòng,0913096861,3.3,Nhật Bản,₫,"instagram-worthy, brunch, bbq, pet-friendly, catering, sake, budget-friendly"
R017,Sichuan Spice,"810 Đường Pasteur, P.16, Q.5",Hà Nội,0974271941,3.1,Trung Quốc,₫₫,"parking, budget-friendly, spicy, late-night, vintage, noodles"
R018,The Burger Joint 81,"506 Đường Cách Mạng Tháng 8, P.2, Q.11",Nha Trang,0971064706,4.2,Mỹ,₫,"casual, must-try, business-lunch, ribs, budget-friendly"
R019,Cơm Tấm Sài Gòn 31,"157 Đường Phan Đình Phùng, P.3, Q.11",Hà Nội,0944611903,4.3,Việt Nam,₫,"award-winning, romantic, brunch, walk-in, pho, spring-rolls, affordable"
R020,Tandoori Palace 16,"722 Đường Cách Mạng Tháng 8, P.13, Q.12",Hải Phòng,0971744876,3.6,Ấn Độ,₫,"grilled, wifi, delivery, biryani, masala, affordable"
R021,Nagoya Tempura,"64 Đường Nguyễn Huệ, P.10, Q.11",Hồ Chí Minh,0932702301,4.8,Nhật Bản,₫₫₫,"premium, private-rooms, organic, must-try, homestyle, ramen"
R022,Thai Smile 7,"804 Đường Nam Kỳ Khởi Nghĩa, P.2, Q.7",Phú Quốc,0949112828,3.7,Thái,₫₫₫,"contemporary, organic, family-gathering, walk-in, wifi, papaya-salad, premium"
R023,Ming Dynasty,"477 Đường Võ Văn Tần, P.2, Q.11",Hải Phòng,0971620854,4.2,Trung Quốc,₫,"budget-friendly, romantic, walk-in, dumplings, noodles, cheap-eats"
R024,Bistro Rouge,"854 Đường Trần Hưng Đạo, P.12, Q.8",Phú Quốc,0958161360,4.9,Âu,₫₫,"premium, outdoor-seating, quick-bite, parking, fusion, pasta"
R025,Mango Tree,"953 Đường Lý Thường Kiệt, P.18, Q.4",Hồ Chí Minh,0986583240,4.4,Thái,₫₫,"fine-dining, waterfront, affordable, pad-thai, curry"
R026,American Diner,"792 Đường Trần Hưng Đạo, P.11, Q.7",Phú Quốc,0964464274,3.4,Mỹ,₫₫₫,"grilled, fusion, takeaway, affordable, luxurious, fries, fine-dining"
R027,Bánh Mì Huỳnh Hoa 2,"543 Đường Nguyễn Huệ, P.10, Q.7",Hà Nội,0958997204,4.1,Việt Nam,₫₫₫,"homestyle, dine-in, parking, vintage, pho, banh-mi, fine-dining"
R028,Mediterranean Table,"186 Đường Cách Mạng Tháng 8, P.1, Q.3",Hà Nội,0964198809,3.2,Địa Trung Hải,₫₫,"live-music, reservation-required, award-winning, seafood, hummus"
R029,Siam Garden,"624 Đường Lý Thường Kiệt, P.6, Q.8",Hà Nội,0991893002,4.3,Thái,₫,"minimalist, value-for-money, chef-special, late-night, reservation-required, papaya-salad, mango-sticky-rice"
R030,Mediterranean Table 86,"301 Đường Phan Đình Phùng, P.18, Q.5",Hà Nội,0938267575,3.1,Địa Trung Hải,₫₫,"rooftop, value-for-money, bbq, hidden-gem, quick-bite, falafel, kebab"
R031,Chiang Mai,"735 Đường Lý Thường Kiệt, P.17, Q.2",Đà Lạt,0965648595,3.6,Thái,₫,"affordable, spicy, award-winning, delivery, buffet, tom-yum, pad-thai"
R032,Mediterranean Breeze,"295 Đường Lê Lợi, P.7, Q.6",Hà Nội,0981244333,3.8,Âu,₫₫,"premium, family-friendly, dine-in, desserts, wine"
R033,Curry House 87,"737 Đường Nguyễn Huệ, P.6, Q.4",Hà Nội,0928354767,4.9,Ấn Độ,₫₫,"cozy, spicy, delivery, signature-dishes, quick-bite, naan, tandoori"
R034,Tokyo Kitchen,"646 Đường Pasteur, P.2, Q.5",Hải Phòng,0947801546,4.8,Nhật Bản,₫,"fried, value-for-money, walk-in, ramen, affordable"
R035,Seoul Kitchen,"875 Đường Cách Mạng Tháng 8, P.2, Q.10",Hà Nội,0984349501,3.4,Hàn Quốc,₫₫,"signature-dishes, bar, street-food, soju"
R036,Texas BBQ,"998 Đường Lê Lợi, P.11, Q.3",Hà Nội,0913130437,4.7,Mỹ,₫,"dine-in, family-friendly, fine-dining, chef-special, burgers, affordable"
