menu_id,restaurant_id,dish_name,category,price_vnd,description,tags
M001,R079,Egg Tarts,Tráng miệng,40000,Bánh tart trứng Hong Kong,"sweet, pastry, creamy"
M002,R018,Milkshake,Đồ uống,80000,Sinh tố sữa đặc,"sweet, creamy, thick"
M003,R005,Thai Basil Lime,Đồ uống,40000,Nước chanh húng quế,"refreshing, herbal, lime"
M004,R016,Gyoza,Khai vị,70000,Há cảo chiên giòn,"crispy, pork, pan-fried"
M005,R015,Samosa,Khai vị,60000,Samosa chiên giòn,"fried, crispy, spiced"
M006,R066,Thai Tea Panna Cotta,Tráng miệng,70000,Panna cotta trà Thái,"sweet, creamy, fusion"
M007,R063,Bulgogi,Món chính,160000,Thịt bò nướng kiểu Hàn,"grilled, beef, marinated"
M008,R052,Tiramisu,Tráng miệng,80000,Tiramisu Ý cà phê,"coffee, creamy, iconic"
M009,R012,Kulfi,Tráng miệng,70000,Kem Ấn Độ truyền thống,"ice-cream, cardamom, creamy"
M010,R030,Baklava,Tráng miệng,70000,Bánh baklava mật ong,"sweet, pastry, nutty"
M011,R039,Som Tam,Khai vị,80000,Gỏi đu đủ chua cay,"spicy, sour, refreshing"
M012,R024,Espresso,Đồ uống,50000,Cà phê Espresso đậm đà,"coffee, strong, italian"
M013,R041,Greek Salad,Khai vị,100000,Salad Hy Lạp,"fresh, healthy, feta"
M014,R060,Scallion Pancakes,Khai vị,60000,Bánh bột hành giòn,"crispy, savory, flaky"
M015,R064,Gulab Jamun,Tráng miệng,50000,Bánh ngọt Ấn Độ,"sweet, syrup, traditional"
M016,R009,Gỏi Cuốn,Khai vị,70000,Gỏi cuốn tôm thịt tươi mát,"fresh, healthy, light"
M017,R050,Gỏi Ngó Sen,Khai vị,80000,Gỏi ngó sen tôm thịt thanh mát,"refreshing, healthy, lotus"
M018,R047,Cà Phê Sữa Đá,Đồ uống,30000,Cà phê sữa đá đậm đà,"coffee, sweet, iced"
M019,R096,Ayran,Đồ uống,40000,Sữa chua muối,"yogurt, salty, refreshing"
M020,R001,Bún Bò Huế,Món chính,80000,Bún cay đặc trưng xứ Huế với thịt bò,"spicy, authentic, hearty"
M021,R093,Naan Bread,Khai vị,50000,Bánh naan nóng giòn,"bread, fluffy, traditional"
M022,R069,Red Wine,Đồ uống,250000,Rượu vang đỏ cao cấp,"alcohol, premium, wine"
M023,R006,Gỏi Ngó Sen,Khai vị,70000,Gỏi ngó sen tôm thịt thanh mát,"refreshing, healthy, lotus"
M024,R029,Thai Iced Tea,Đồ uống,60000,Trà sữa Thái cam,"sweet, creamy, orange"
M025,R076,Mango Lassi,Đồ uống,70000,Sữa chua xoài Ấn Độ,"yogurt, mango, refreshing"
M026,R034,Matcha Latte,Đồ uống,60000,Matcha latte thơm béo,"tea, creamy, authentic"
M027,R033,Naan Bread,Khai vị,40000,Bánh naan nóng giòn,"bread, fluffy, traditional"
M028,R055,Som Tam,Khai vị,60000,Gỏi đu đủ chua cay,"spicy, sour, refreshing"
