,Unnamed: 0,restaurant_id,name,address,city,phone,rating,tags
0,0,R001,Bánh Mì Huỳnh Hoa,"440 Đường Trần Hưng Đạo, P.17, Q.10",Phú Quốc,944650898,3.5,"gourmet, private-rooms, vegetarian, late-night, bar, banh-mi"
1,1,R002,K-Town BBQ,"885 Đường Võ Văn Tần, P.3, Q.4",Cần Thơ,914365313,4.9,"value-for-money, parking, brunch, buffet, catering, soju, fine-dining"
2,2,R003,Kyoto Garden,"770 Đường Nguyễn Huệ, P.2, Q.6",Hải Phòng,993552787,3.5,"quick-bite, minimalist, fine-dining, budget-friendly, sake"
3,3,R004,Kimchi House,"674 Đường Cách Mạng Tháng 8, P.13, Q.2",Vũng Tàu,996921343,3.3,"family-gathering, catering, garden-view, hidden-gem, gourmet, soju, kimchi"
4,4,R005,Papaya Salad,"955 Đường Lê Lợi, P.13, Q.6",Đà Lạt,910000746,4.7,"fried, authentic, business-lunch, delivery, signature-dishes, mango-sticky-rice"
5,5,R006,Mì Quảng 1A,"903 Đường Lý Thường Kiệt, P.18, Q.5",Cần Thơ,978723372,3.6,"local-favorite, traditional, gourmet, vegan, bun-cha, banh-mi, affordable"
6,6,R007,Thai Smile,"254 Đường Trần Hưng Đạo, P.10, Q.2",Đà Lạt,926611918,4.5,"celebration, must-try, fine-dining, tom-yum, curry"
7,7,R008,Bún Bò Huế An Nam,"842 Đường Lê Lợi, P.5, Q.10",Cần Thơ,913049761,4.7,"date-night, award-winning, gourmet, bun-cha, affordable"
8,8,R009,Cơm Tấm Sài Gòn,"279 Đường Võ Văn Tần, P.11, Q.12",Hà Nội,927302663,3.4,"value-for-money, bbq, live-music, cozy, hidden-gem, spring-rolls, cheap-eats"
9,9,R010,Cơm Tấm Sài Gòn 1,"317 Đường Lý Thường Kiệt, P.14, Q.2",Cần Thơ,946199278,3.1,"hidden-gem, vegan, family-friendly, outdoor-seating, waterfront, spring-rolls"
10,10,R011,K-Town BBQ 49,"893 Đường Lê Lợi, P.3, Q.10",Vũng Tàu,985640997,3.4,"street-food, vegetarian, rooftop, business-lunch, outdoor-seating, bibimbap, hotpot"
11,11,R012,Tandoori Palace,"141 Đường Nam Kỳ Khởi Nghĩa, P.1, Q.12",Hải Phòng,968843673,4.8,"buffet, bar, spicy, vintage, premium, tandoori, masala"
12,12,R013,The Burger Joint,"75 Đường Cách Mạng Tháng 8, P.16, Q.12",Cần Thơ,994953138,3.8,"value-for-money, halal, must-try, steaks, milkshakes, premium"
13,13,R014,Busan Grill,"848 Đường Nguyễn Huệ, P.8, Q.9",Hồ Chí Minh,989568538,3.4,"business-lunch, rooftop, bbq, buffet, bibimbap, soju, affordable"
14,14,R015,Curry House,"181 Đường Võ Văn Tần, P.8, Q.2",Hà Nội,913143206,4.1,"brunch, kids-menu, catering, curry, cheap-eats"
15,15,R016,Edo Sushi Bar,"294 Đường Lý Thường Kiệt, P.4, Q.5",Hải Phòng,913096861,3.3,"instagram-worthy, brunch, bbq, pet-friendly, catering, sake, budget-friendly"
16,16,R017,Sichuan Spice,"810 Đường Pasteur, P.16, Q.5",Hà Nội,974271941,3.1,"parking, budget-friendly, spicy, late-night, vintage, noodles"
17,17,R018,The Burger Joint 81,"506 Đường Cách Mạng Tháng 8, P.2, Q.11",Nha Trang,971064706,4.2,"casual, must-try, business-lunch, ribs, budget-friendly"
18,18,R019,Cơm Tấm Sài Gòn 31,"157 Đường Phan Đình Phùng, P.3, Q.11",Hà Nội,944611903,4.3,"award-winning, romantic, brunch, walk-in, pho, spring-rolls, affordable"
19,19,R020,Tandoori Palace 16,"722 Đường Cách Mạng Tháng 8, P.13, Q.12",Hải Phòng,971744876,3.6,"grilled, wifi, delivery, biryani, masala, affordable"
20,20,R021,Nagoya Tempura,"64 Đường Nguyễn Huệ, P.10, Q.11",Hồ Chí Minh,932702301,4.8,"premium, private-rooms, organic, must-try, homestyle, ramen"
21,21,R022,Thai Smile 7,"804 Đường Nam Kỳ Khởi Nghĩa, P.2, Q.7",Phú Quốc,949112828,3.7,"contemporary, organic, family-gathering, walk-in, wifi, papaya-salad, premium"
22,22,R023,Ming Dynasty,"477 Đường Võ Văn Tần, P.2, Q.11",Hải Phòng,971620854,4.2,"budget-friendly, romantic, walk-in, dumplings, noodles, cheap-eats"
23,23,R024,Bistro Rouge,"854 Đường Trần Hưng Đạo, P.12, Q.8",Phú Quốc,958161360,4.9,"premium, outdoor-seating, quick-bite, parking, fusion, pasta"
24,24,R025,Mango Tree,"953 Đường Lý Thường Kiệt, P.18, Q.4",Hồ Chí Minh,986583240,4.4,"fine-dining, waterfront, affordable, pad-thai, curry"
25,25,R026,American Diner,"792 Đường Trần Hưng Đạo, P.11, Q.7",Phú Quốc,964464274,3.4,"grilled, fusion, takeaway, affordable, luxurious, fries, fine-dining"
26,26,R027,Bánh Mì Huỳnh Hoa 2,"543 Đường Nguyễn Huệ, P.10, Q.7",Hà Nội,958997204,4.1,"homestyle, dine-in, parking, vintage, pho, banh-mi, fine-dining"
27,27,R028,Mediterranean Table,"186 Đường Cách Mạng Tháng 8, P.1, Q.3",Hà Nội,964198809,3.2,"live-music, reservation-required, award-winning, seafood, hummus"
28,28,R029,Siam Garden,"624 Đường Lý Thường Kiệt, P.6, Q.8",Hà Nội,991893002,4.3,"minimalist, value-for-money, chef-special, late-night, reservation-required, papaya-salad, mango-sticky-rice"
29,29,R030,Mediterranean Table 86,"301 Đường Phan Đình Phùng, P.18, Q.5",Hà Nội,938267575,3.1,"rooftop, value-for-money, bbq, hidden-gem, quick-bite, falafel, kebab"
30,30,R031,Chiang Mai,"735 Đường Lý Thường Kiệt, P.17, Q.2",Đà Lạt,965648595,3.6,"affordable, spicy, award-winning, delivery, buffet, tom-yum, pad-thai"
31,31,R032,Mediterranean Breeze,"295 Đường Lê Lợi, P.7, Q.6",Hà Nội,981244333,3.8,"premium, family-friendly, dine-in, desserts, wine"
32,32,R033,Curry House 87,"737 Đường Nguyễn Huệ, P.6, Q.4",Hà Nội,928354767,4.9,"cozy, spicy, delivery, signature-dishes, quick-bite, naan, tandoori"
33,33,R034,Tokyo Kitchen,"646 Đường Pasteur, P.2, Q.5",Hải Phòng,947801546,4.8,"fried, value-for-money, walk-in, ramen, affordable"
34,34,R035,Seoul Kitchen,"875 Đường Cách Mạng Tháng 8, P.2, Q.10",Hà Nội,984349501,3.4,"signature-dishes, bar, street-food, soju"
